Date,Price,Sentiment,Sentiment_Score,Action,Cash,Holdings,Short_Holdings,Portfolio_Value,Crypto_Return,Portfolio_Return
2024-05-01,58307.05498655,Negative,-433.0,Sell Short,0.0,0.0,0.17150583239552664,0.0,-3.9581720455053766,-100.0
2024-05-02,59135.27036169,Positive,323.0,Close Short,9857.95623268384,0.0,0.0,9857.95623268384,-2.593957739246689,-1.4204376731615957
2024-05-03,62904.83292433,Positive,27.0,Buy Long,0.0,0.1567122234398469,0.0,9857.95623268384,3.615165310927727,-1.4204376731615957
2024-05-04,63877.65771523,Positive,178.0,Hold,0.0,0.1567122234398469,0.0,10010.409768683183,5.217576395127354,0.10409768683182848
2024-05-05,64006.30460799,Positive,1845.0,Hold,0.0,0.1567122234398469,0.0,10030.570309286231,5.429480130347497,0.3057030928623135
2024-05-06,63191.95954505,Positive,40.0,Hold,0.0,0.1567122234398469,0.0,9902.95248382564,4.088112632906283,-0.9704751617435977
2024-05-07,62440.20988,Positive,10.0,Hold,0.0,0.1567122234398469,0.0,9785.144122345497,2.849850607629319,-2.1485587765450327
2024-05-08,61134.82693444,Positive,31.0,Hold,0.0,0.1567122234398469,0.0,9580.574658506332,0.6996585888225909,-4.194253414936684
2024-05-09,63047.05964273,Positive,2249.0,Hold,0.0,0.1567122234398469,0.0,9880.244897956856,3.8494373732408644,-1.1975510204314377
2024-05-10,60897.55192455,Positive,506.0,Hold,0.0,0.1567122234398469,0.0,9543.390764139758,0.3088255123961951,-4.566092358602418
2024-05-11,60836.67000892,Positive,2.0,Hold,0.0,0.1567122234398469,0.0,9533.849823774104,0.20854244257170365,-4.6615017622589585
2024-05-12,61467.92941955,Neutral,0.0,Hold,0.0,0.1567122234398469,0.0,9632.775889581257,1.248336130048577,-3.6722411041874325
2024-05-13,62889.42101882,Positive,248.0,Hold,0.0,0.1567122234398469,0.0,9855.540998703924,3.589779230670647,-1.4445900129607618
2024-05-14,61566.43876712,Positive,155.0,Hold,0.0,0.1567122234398469,0.0,9648.213508468561,1.410598103550932,-3.517864915314385
2024-05-15,66304.44488331,Positive,40.0,Hold,0.0,0.1567122234398469,0.0,10390.71698160829,9.21491558045714,3.9071698160828965
2024-05-16,65233.06656096,Negative,-406.0,Sell Long,10222.818902567567,0.0,0.0,10222.818902567567,7.450169744244861,2.2281890256756745
