Date,Avg_Sentiment,Comment_Count
2024-06-07,-0.016684229012996134,4
2024-06-08,-0.02054794520547945,2
2024-06-09,-0.010752688172043012,1
2024-06-10,0.0,3
2024-06-11,0.0,3
2024-06-14,0.0,2
2024-06-18,0.0,1
2024-06-21,0.0,1
2024-06-22,-0.025,1
2024-06-27,-0.009055977738988598,412
2024-06-28,-0.013843019461584958,33
2024-06-29,-0.020833333333333332,2
2024-06-30,-0.006521739130434782,5
2024-07-01,-0.016961299569995224,3
2024-07-04,-0.005194342932720554,140
2024-07-05,-0.007737516089180657,161
2024-07-06,-0.0003596710272907178,60
2024-07-07,0.018849206349206348,7
2024-07-08,-0.027777777777777776,3
2024-07-09,-0.0036313470302798572,12
2024-07-10,-0.016914830256104824,5
2024-07-22,0.0,1
2024-07-24,0.06666666666666667,1
2024-08-15,-0.006418891066908709,167
2024-08-16,-0.0031647486592106784,41
2024-08-17,-0.030303030303030304,3
2024-08-23,0.0003783082655523702,185
2024-08-24,-0.0011028030863870016,93
2024-08-25,0.02486772486772487,6
2024-08-26,-0.008928571428571428,2
2024-08-27,-0.025955465587044535,5
2024-09-04,0.0,1
2024-09-12,0.0,1
2024-09-19,0.006341505146589899,47
2024-09-20,-0.005606234944296475,52
2024-09-21,-0.008436305553212276,128
2024-09-22,-0.007651300793472679,94
2024-09-23,0.0035530210118589712,23
2024-09-24,-0.017316017316017316,12
2024-09-25,-0.007142857142857143,2
2024-09-26,-0.007407407407407408,3
2024-09-28,-0.021521627430274796,88
2024-09-29,-0.016747131872368693,78
2024-09-30,0.0053475935828877,11
2024-10-01,0.0,1
2024-10-02,0.0,1
2024-10-04,-0.0040921050766309025,151
2024-10-05,-0.001773080141265465,214
2024-10-06,0.00475473982384452,28
2024-10-07,-0.0021011396011396,9
2024-10-08,-0.007246376811594203,3
2024-10-09,0.0,3
2024-10-14,-0.001421337121496757,68
2024-10-15,-0.0063690632454186805,266
2024-10-16,-0.005870603159978673,233
2024-10-17,0.0177983091637105,34
2024-10-18,0.0,2
2024-10-19,-0.010305857235681797,6
2024-10-20,-0.018111578563171138,188
2024-10-21,-0.01355063879670685,240
2024-10-22,-0.0035180922000513748,127
2024-10-23,-0.01076875884619892,113
2024-10-24,-0.004825800376647834,8
2024-10-25,-0.015005103047825609,8
2024-10-26,-0.0035403372275694964,85
2024-10-27,-0.005813349846864416,214
2024-10-28,-0.007168638718282199,346
2024-10-29,-0.005917243218234187,221
2024-10-30,-0.005292898611669064,359
2024-10-31,-0.025174051524888663,18
2024-11-01,-0.006026177935626359,298
2024-11-02,-0.00472779296288096,228
2024-11-03,0.005230962337496355,34
2024-11-04,-0.008767349280309745,319
2024-11-05,-0.005457477576579662,150
2024-11-06,-0.008234803509770707,154
2024-11-07,-0.009823087396549222,84
2024-11-08,-0.018696581196581196,4
2024-11-09,-0.0189873417721519,2
2024-11-10,-0.006737643378138379,207
2024-11-11,0.0007152107152107151,45
2024-11-12,-0.0006192351179617034,533
2024-11-13,0.00011412238503016334,443
2024-11-14,-0.005038194703719744,873
2024-11-15,-0.0032150609686544774,736
2024-11-16,5.9028870163539644e-05,406
2024-11-17,-0.005875444518132644,124
2024-11-18,-0.007465507002453274,137
2024-11-19,-0.007204606007160709,102
2024-11-20,-0.007641687356079644,269
2024-11-21,-0.00564239084850597,729
2024-11-22,-0.006012482537304516,713
2024-11-23,-0.00161387434105138,1034
2024-11-24,-0.004747355078496221,349
2024-11-25,-0.002882522586540694,243
2024-11-26,-0.0014694531015163903,578
2024-11-27,-0.00941978471855214,167
2024-11-28,-0.003901535180029117,257
2024-11-29,-0.0036796420288533627,178
2024-11-30,0.0024828422511532578,421
2024-12-01,0.0009613560225783162,69
2024-12-02,-0.00576345373268213,239
2024-12-03,-0.008150346816640567,161
2024-12-04,-0.012434986526405458,322
2024-12-05,-0.0013312447677681237,929
2024-12-06,-0.005718509037812788,675
2024-12-07,-0.0015831383372777084,76
2024-12-08,-0.011428983139430507,186
2024-12-09,-0.0052718598957363465,581
2024-12-10,-0.00696230220741543,640
2024-12-11,-0.004388627090978805,609
2024-12-12,-0.004968230676257177,264
2024-12-13,0.015437241301468552,31
2024-12-14,-0.003758106870938556,181
2024-12-15,-0.00316764693722351,261
2024-12-16,-0.003196769316662405,434
2024-12-17,-0.0064924458102032625,515
2024-12-18,-0.008063146359818427,391
