Date,Price,Sentiment,Action,Cash,Holdings,Portfolio_Value
2022-01-07,78.62158784,Positive,Buy,0.0,127.19152938440577,10000.0
2022-01-08,68.88043797,Positive,Hold,0.0,127.19152938440577,8761.008250071995
2022-01-13,82.29306928,Positive,Hold,0.0,127.19152938440577,10466.981339460059
2022-01-16,87.6574288,Negative,Sell,11149.282430976657,0.0,11149.282430976657
2022-01-28,54.25739436,Positive,Buy,0.0,205.48871840399704,11149.282430976657
2022-01-29,50.66232266,Negative,Sell,10410.535754773178,0.0,10410.535754773178
2022-01-31,46.35656124,Negative,Hold,10410.535754773178,0.0,10410.535754773178
2022-02-01,52.13371664,Positive,Buy,0.0,199.68911533127897,10410.535754773178
2022-02-02,52.11405772,Positive,Hold,0.0,199.68911533127897,10406.610082430008
2022-02-03,47.72283214,Negative,Sell,9529.730131139728,0.0,9529.730131139728
2022-02-17,56.14196216,Positive,Buy,0.0,169.7434461585218,9529.730131139728
2022-02-19,50.8221928,Positive,Hold,0.0,169.7434461585218,8626.734147204816
2022-02-23,54.66896324,Positive,Hold,0.0,169.7434461585218,9279.698218271147
2022-02-24,59.7921202,Positive,Hold,0.0,169.7434461585218,10149.320535872565
2022-03-01,91.25984973,Positive,Hold,0.0,169.7434461585218,15490.761389079045
2022-03-02,89.99574583,Positive,Hold,0.0,169.7434461585218,15276.18803679062
2022-03-03,91.96952736,Positive,Hold,0.0,169.7434461585218,15611.224515656859
2022-03-04,90.55615015,Negative,Sell,15371.31299730954,0.0,15371.31299730954
2022-03-05,83.82063292,Positive,Buy,0.0,183.38340408357706,15371.31299730954
2022-03-06,87.29737765,Positive,Hold,0.0,183.38340408357706,16008.890281026579
2022-03-08,77.72441042,Positive,Hold,0.0,183.38340408357706,14253.366963208648
2022-03-10,99.37425412,Positive,Hold,0.0,183.38340408357706,18223.588998792035
2022-03-11,101.31585399,Positive,Hold,0.0,183.38340408357706,18579.646192320863
2022-03-12,89.06232056,Positive,Hold,0.0,183.38340408357706,16332.551519875555
2022-03-13,86.55241865,Positive,Hold,0.0,183.38340408357706,15872.277163703882
2022-03-14,86.9973423,Positive,Hold,0.0,183.38340408357706,15953.868777198171
2022-03-15,94.1452575,Positive,Hold,0.0,183.38340408357706,17264.677798674915
2022-03-17,89.04979284,Positive,Hold,0.0,183.38340408357706,16330.254143936547
2022-03-18,86.99451475,Positive,Hold,0.0,183.38340408357706,15953.350251453954
2022-03-22,95.85428822,Negative,Sell,17578.085669791923,0.0,17578.085669791923
2022-03-23,92.98001769,Positive,Buy,0.0,189.0522943155177,17578.085669791923
2022-03-24,94.97520016,Positive,Hold,0.0,189.0522943155177,17955.279493323524
2022-03-25,93.79811445,Positive,Hold,0.0,189.0522943155177,17732.748739242015
2022-03-26,90.27796642,Positive,Hold,0.0,189.0522943155177,17067.256677840265
2022-03-27,91.39518553,Positive,Hold,0.0,189.0522943155177,17278.469513838907
2022-03-28,94.13325007,Positive,Hold,0.0,189.0522943155177,17796.10689710987
2022-03-29,97.81045986,Negative,Sell,18491.29184458885,0.0,18491.29184458885
2022-03-30,108.82747382,Positive,Buy,0.0,169.913820430798,18491.29184458885
2022-03-31,106.10216614,Positive,Hold,0.0,169.913820430798,18028.224404830657
2022-04-01,103.13665493,Positive,Hold,0.0,169.913820430798,17524.3430656092
2022-04-02,105.74062015,Negative,Sell,17966.79274440832,0.0,17966.79274440832
2022-04-03,115.39050519,Negative,Hold,17966.79274440832,0.0,17966.79274440832
2022-04-04,112.76806371,Negative,Hold,17966.79274440832,0.0,17966.79274440832
2022-04-05,116.4646957,Positive,Buy,0.0,154.26814655222873,17966.79274440832
2022-04-06,116.29203204,Positive,Hold,0.0,154.26814655222873,17940.1562416032
2022-04-07,107.75930742,Positive,Hold,0.0,154.26814655222873,16623.82862943523
2022-04-08,103.48131374,Positive,Hold,0.0,154.26814655222873,15963.870473459481
2022-04-13,84.57206595,Negative,Sell,13046.775864199353,0.0,13046.775864199353
2022-04-16,80.34961415,Positive,Buy,0.0,162.3750904371873,13046.775864199355
2022-04-17,81.0525403,Negative,Sell,13160.91356137627,0.0,13160.91356137627
2022-04-18,77.42162559,Positive,Buy,0.0,169.99014759871136,13160.91356137627
2022-04-19,91.15005209,Positive,Hold,0.0,169.99014759871136,15494.610808409328
2022-04-20,95.71395939,Positive,Hold,0.0,169.99014759871136,16270.430083963165
2022-04-21,94.9357648,Positive,Hold,0.0,169.99014759871136,16138.144670748547
2022-04-22,90.67972695,Positive,Hold,0.0,169.99014759871136,15414.660168441345
2022-04-23,93.68809957,Positive,Hold,0.0,169.99014759871136,15926.053874147066
2022-04-24,89.60879424,Positive,Hold,0.0,169.99014759871136,15232.612159000155
2022-04-25,90.4609285,Positive,Hold,0.0,169.99014759871136,15377.466587631474
2022-04-26,97.03812115,Positive,Hold,0.0,169.99014759871136,16495.524536990135
2022-04-29,88.51867573,Negative,Sell,15047.302752585168,0.0,15047.302752585168
2022-05-04,82.6690638,Negative,Hold,15047.302752585168,0.0,15047.302752585168
2022-05-05,86.13603708,Positive,Buy,0.0,174.69230374053296,15047.302752585168
2022-05-06,82.619727,Positive,Hold,0.0,174.69230374053296,14433.030444043912
2022-05-07,77.5647755,Negative,Sell,13549.96932121225,0.0,13549.96932121225
2022-05-08,68.57732204,Positive,Buy,0.0,197.58673739561863,13549.96932121225
2022-05-09,63.85641647,Positive,Hold,0.0,197.58673739561863,12617.180992083146
2022-05-10,33.14368214,Positive,Hold,0.0,197.58673739561863,6548.752019320036
2022-05-11,16.86665349,Positive,Hold,0.0,197.58673739561863,3332.6270338715244
2022-05-12,1.06287811,Negative,Sell,210.01061800412145,0.0,210.01061800412145
2022-05-13,0.00121919,Negative,Hold,210.01061800412145,0.0,210.01061800412145
2022-05-14,0.00011553,Negative,Hold,210.01061800412145,0.0,210.01061800412145
2022-05-15,0.00044671,Negative,Hold,210.01061800412145,0.0,210.01061800412145
2022-05-16,0.00021535,Negative,Hold,210.01061800412145,0.0,210.01061800412145
2022-05-17,0.00019473,Negative,Hold,210.01061800412145,0.0,210.01061800412145
2022-05-18,0.0001868,Negative,Hold,210.01061800412145,0.0,210.01061800412145
2022-05-19,0.00014623,Negative,Hold,210.01061800412145,0.0,210.01061800412145
2022-05-20,0.00013335,Negative,Hold,210.01061800412145,0.0,210.01061800412145
2022-05-21,0.00011959,Positive,Buy,0.0,1756088.4522461866,210.01061800412145
2022-05-22,0.00012254,Positive,Hold,0.0,1756088.4522461866,215.1910789382477
2022-05-23,0.00018989,Negative,Sell,333.4636361970284,0.0,333.4636361970284
2022-05-24,0.00016055,Negative,Hold,333.4636361970284,0.0,333.4636361970284
2022-05-25,0.0001797,Negative,Hold,333.4636361970284,0.0,333.4636361970284
2022-05-26,0.00017928,Positive,Buy,0.0,1860015.8199298773,333.4636361970284
2022-05-27,0.00015154,Positive,Hold,0.0,1860015.8199298773,281.8667973521736
2022-05-28,0.00012694,Positive,Hold,0.0,1860015.8199298773,236.11040818189863
2022-05-29,8.942e-05,Negative,Sell,166.32261461812962,0.0,166.32261461812962
2022-05-30,9.904e-05,Negative,Hold,166.32261461812962,0.0,166.32261461812962
2022-05-31,0.00012598,Negative,Hold,166.32261461812962,0.0,166.32261461812962
2022-06-01,0.00011422,Positive,Buy,0.0,1456160.1700063879,166.32261461812962
2022-06-02,0.00010008,Negative,Sell,145.7325098142393,0.0,145.7325098142393
2022-06-03,0.00010064,Positive,Buy,0.0,1448057.5299507086,145.7325098142393
2022-06-04,9.576e-05,Positive,Hold,0.0,1448057.5299507086,138.66598906807985
2022-06-05,9.269e-05,Negative,Sell,134.22045245113117,0.0,134.22045245113117
2022-06-06,7.953e-05,Negative,Hold,134.22045245113117,0.0,134.22045245113117
2022-06-07,8.053e-05,Positive,Buy,0.0,1666713.677525533,134.22045245113117
2022-06-08,6.38e-05,Negative,Sell,106.336332626129,0.0,106.336332626129
2022-06-09,4.668e-05,Negative,Hold,106.336332626129,0.0,106.336332626129
2022-06-10,7.512e-05,Negative,Hold,106.336332626129,0.0,106.336332626129
2022-06-11,7.006e-05,Negative,Hold,106.336332626129,0.0,106.336332626129
2022-06-13,6.879e-05,Positive,Buy,0.0,1545810.9118495276,106.336332626129
2022-06-14,6.037e-05,Negative,Sell,93.32060474835598,0.0,93.32060474835598
2022-06-15,6.046e-05,Positive,Buy,0.0,1543509.8370551765,93.32060474835598
2022-06-16,6.167e-05,Negative,Sell,95.18825165119273,0.0,95.18825165119273
2022-06-17,5.788e-05,Negative,Hold,95.18825165119273,0.0,95.18825165119273
2022-06-18,5.898e-05,Positive,Buy,0.0,1613907.284692993,95.18825165119273
2022-06-24,5.765e-05,Negative,Sell,93.04175496255104,0.0,93.04175496255104
2022-06-25,5.932e-05,Positive,Buy,0.0,1568471.9312635036,93.04175496255104
2022-06-26,5.865e-05,Positive,Hold,0.0,1568471.9312635036,91.99087876860449
2022-06-27,6.542e-05,Negative,Sell,102.60943374325839,0.0,102.60943374325839
2022-06-28,8.844e-05,Negative,Hold,102.60943374325839,0.0,102.60943374325839
2022-06-29,0.00010665,Negative,Hold,102.60943374325839,0.0,102.60943374325839
2022-06-30,0.00016287,Positive,Buy,0.0,630008.1890050862,102.60943374325838
2022-07-01,0.00011372,Positive,Hold,0.0,630008.1890050862,71.6445312536584
2022-07-04,0.00013037,Negative,Sell,82.13416760059307,0.0,82.13416760059307
