Date,Price,Sentiment,Sentiment_Score,Action,Cash,Holdings,Short_Holdings,Portfolio_Value,Crypto_Return,Portfolio_Return
2024-05-01,58307.05498655,Negative,-433.0,Hold,10000.0,0.0,0,10000.0,-3.9581720455053766,0.0
2024-05-02,59135.27036169,Positive,323.0,Buy,0.0,0.1691038180570891,0,10000.0,-2.593957739246689,0.0
2024-05-03,62904.83292433,Positive,27.0,Hold,0.0,0.1691038180570891,0,10637.447421747489,3.615165310927727,6.374474217474891
2024-05-04,63877.65771523,Positive,178.0,Hold,0.0,0.1691038180570891,0,10801.955808189268,5.217576395127354,8.019558081892683
2024-05-05,64006.30460799,Positive,1845.0,Hold,0.0,0.1691038180570891,0,10823.710488936165,5.429480130347497,8.237104889361653
2024-05-06,63191.95954505,Positive,40.0,Hold,0.0,0.1691038180570891,0,10686.00162957707,4.088112632906283,6.860016295770692
2024-05-07,62440.20988,Positive,10.0,Hold,0.0,0.1691038180570891,0,10558.877890993977,2.849850607629319,5.588778909939774
2024-05-08,61134.82693444,Positive,31.0,Hold,0.0,0.1691038180570891,0,10338.132650873173,0.6996585888225909,3.3813265087317266
2024-05-09,63047.05964273,Positive,2249.0,Hold,0.0,0.1691038180570891,0,10661.498502858658,3.8494373732408644,6.61498502858658
2024-05-10,60897.55192455,Positive,506.0,Hold,0.0,0.1691038180570891,0,10298.00854077124,0.3088255123961951,2.9800854077123953
2024-05-11,60836.67000892,Positive,2.0,Hold,0.0,0.1691038180570891,0,10287.713176387577,0.20854244257170365,2.8771317638757683
2024-05-12,61467.92941955,Neutral,0.0,Hold,0.0,0.1691038180570891,0,10394.461552909577,1.248336130048577,3.944615529095772
2024-05-13,62889.42101882,Positive,248.0,Hold,0.0,0.1691038180570891,0,10634.841209682212,3.589779230670647,6.348412096822122
2024-05-14,61566.43876712,Positive,155.0,Hold,0.0,0.1691038180570891,0,10411.119859697978,1.410598103550932,4.111198596979775
2024-05-15,66304.44488331,Positive,40.0,Hold,0.0,0.1691038180570891,0,11212.334783923547,9.21491558045714,12.123347839235468
2024-05-16,65233.06656096,Negative,-406.0,Sell,11031.160619030563,0.0,0,11031.160619030563,7.450169744244861,10.311606190305628
2024-05-17,67044.17013745,Negative,-487.0,Hold,11031.160619030563,0.0,0,11031.160619030563,10.433371316355586,10.311606190305628
2024-05-18,66984.70484648,Positive,193.0,Buy,0.0,0.1646817828683803,0,11031.160619030563,10.335421672938997,10.311606190305628
2024-05-19,66298.04001871,Neutral,0.0,Hold,0.0,0.1646817828683803,0,10918.07943096039,9.204365658082788,9.180794309603899
