date,price,vol_spot_24h,market_cap
2025-04-23,93707.39725177776,19063308556.382164,1860585486016.5107
2025-04-22,93565.92048058333,24156406315.06045,1857744333697.9458
2025-04-21,87542.68412707515,17645595886.756504,1738111232068.0183
2025-04-20,85112.70771438396,6028374299.120505,1689831614145.9338
2025-04-19,85165.66927580218,5612942447.291702,1690849645314.5376
2025-04-18,84503.4691786759,4729514419.153396,1677665795360.5337
2025-04-17,84919.84387141484,9350642950.537645,1685896931169.956
2025-04-16,84103.46782789292,12470424769.007935,1669649040532.503
2025-04-15,83729.24694819584,12118316643.171759,1662181455779.5051
2025-04-14,84579.96788936667,14586864136.318844,1679031789518.5884
2025-04-13,83569.1122704291,12748025914.5524,1658924681411.5415
2025-04-12,85312.42132815116,10227252349.819027,1693486456144.124
2025-04-11,83420.6494522168,17395081804.791775,1655897472427.6694
2025-04-10,79581.39286299108,17189643024.583694,1579650061820.0127
2025-04-09,82682.91196193991,32341905164.758617,1641176922946.4956
2025-04-08,76256.8959211195,18519286520.1254,1513594988343.706
2025-04-07,79237.4804196347,34056196877.243244,1572718823265.62
2025-04-06,78114.87306514556,14186504616.215824,1550401034824.3276
2025-04-05,83660.17948778711,6251225984.999948,1660424748319.5215
2025-04-04,83862.05352432509,18830598420.082417,1664389210783.8992
2025-04-03,83048.15599658385,15227820957.030203,1648187406853.9426
2025-04-02,82620.33948533467,20529751617.82835,1639659214907.1616
2025-04-01,85224.82938405195,13687209471.419823,1691301056897.8474
2025-03-31,82507.04205499998,13571674070.229933,1637330797750.5403
2025-03-30,82184.56551659983,6904015664.017126,1630891557360.1794
2025-03-29,83009.84826448653,7855289342.441691,1647233898355.2034
2025-03-28,84579.06825742334,15731854389.167984,1678337805482.5828
2025-03-27,87246.16210520105,11718238598.94898,1731219836406.8054
2025-03-26,86921.24345631948,12733706291.280312,1724731991802.2288
2025-03-25,87462.040040485,14519709233.262651,1735420136704.5425
2025-03-24,87416.88396239086,17034752175.418514,1734484288561.8772
2025-03-23,86056.96595451748,6123853482.354954,1707460220124.0154
2025-03-22,84278.62769309393,3937890336.779693,1672134832347.981
2025-03-21,84288.57786210132,9077651592.451954,1672292465024.6304
2025-03-20,84231.87686863,14090000030.256966,1671129860902.316
2025-03-19,86843.61340024027,16615633390.428185,1722906946533.9126
2025-03-18,82680.26394554444,11855413850.9956,1640269944499.64
2025-03-17,84098.5846888706,11385545285.00261,1668370513774.2656
2025-03-16,82613.2529902653,9618841362.061459,1638867999020.8867
2025-03-15,84413.91399609084,6763616601.305367,1674551733366.9126
