date,price,vol_spot_24h,market_cap
2013-11-30,1119.29671479,0.0,13593664650.0
2013-12-01,964.48579369,0.0,12464724345.0
2013-12-02,1040.80821771,0.0,11753157346.0
2013-12-03,1053.62102745,0.0,13020236474.0
2013-12-04,1134.93223089,0.0,13542487814.0
2013-12-05,1027.41177283,0.0,11947405392.0
2013-12-06,824.58171034,0.0,12322234219.0
2013-12-07,703.74837603,0.0,9816777302.0
2013-12-08,783.57334833,0.0,8987358118.0
2013-12-09,896.07928989,0.0,10863885372.0
2013-12-10,977.16536733,0.0,11230173843.0
2013-12-11,875.46403427,0.0,10741252534.0
2013-12-12,873.32480599,0.0,10636987805.0
2013-12-13,879.1561353,0.0,10872198158.0
2013-12-14,852.85612053,0.0,10509219285.0
2013-12-15,864.06165786,0.0,10363485334.0
2013-12-16,677.8941068,0.0,9573257565.0
2013-12-17,682.62677271,0.0,8393847109.0
2013-12-18,526.12097633,0.0,6791343584.0
2013-12-19,685.52512896,0.0,8233502182.0
2013-12-20,600.21695426,0.0,8436421862.0
2013-12-21,597.03350255,0.0,7246404914.0
2013-12-22,615.01303527,0.0,7907201916.0
2013-12-23,657.92663416,0.0,7854951431.0
2013-12-24,650.66474518,0.0,8030446893.0
2013-12-25,678.29015809,0.0,8140337961.0
2013-12-26,749.99659496,46862700.0,8944973877.0
2013-12-27,722.57056749,32505800.0,8944473292.0
2013-12-28,715.85236308,19011300.0,9002769255.0
2013-12-29,727.27121566,20707700.0,8855251580.0
2013-12-30,735.74199708,20897300.0,9270681761.0
2013-12-31,729.55758291,22489400.0,9205343763.0
2014-01-01,752.40454994,38489500.0,9358693020.0
2014-01-02,784.95492131,37810100.0,9417082760.0
2014-01-03,807.22293903,38005000.0,10062417390.0
2014-01-04,828.60206262,72898496.0,10350952914.0
2014-01-05,902.48738026,85565696.0,11207538944.0
2014-01-06,914.45996084,81311696.0,11414401972.0
2014-01-07,803.3517962,74175600.0,10107681750.0
2014-01-08,820.6900095,59998600.0,10256342208.0
