Date,Price,Sentiment,Sentiment_Score,Action,Cash,Holdings,Short_Holdings,Portfolio_Value,Crypto_Return,Portfolio_Return
2024-05-01,58307.05498655,Negative,-433.0,Sell Short,10000.0,0.0,0.17150583239552664,0.0,-3.9581720455053766,-100.0
2024-05-02,59135.27036169,Positive,323.0,Close Short,9999.999999999998,0.0,0.0,9999.999999999998,-2.593957739246689,-1.8189894035458565e-14
2024-05-03,62904.83292433,Positive,27.0,Buy Long,0.0,0.15897029743373264,0.0,9999.999999999998,3.615165310927727,-1.8189894035458565e-14
2024-05-04,63877.65771523,Positive,178.0,Hold,0.0,0.15897029743373264,0.0,10154.65024636028,5.217576395127354,1.546502463602792
2024-05-05,64006.30460799,Positive,1845.0,Hold,0.0,0.15897029743373264,0.0,10175.101281166262,5.429480130347497,1.7510128116626218
2024-05-06,63191.95954505,Positive,40.0,Hold,0.0,0.15897029743373264,0.0,10045.644604296998,4.088112632906283,0.456446042969983
2024-05-07,62440.20988,Positive,10.0,Hold,0.0,0.15897029743373264,0.0,9926.138736448293,2.849850607629319,-0.7386126355170745
2024-05-08,61134.82693444,Positive,31.0,Hold,0.0,0.15897029743373264,0.0,9718.621621327697,0.6996585888225909,-2.8137837867230338
2024-05-09,63047.05964273,Positive,2249.0,Hold,0.0,0.15897029743373264,0.0,10022.609823727069,3.8494373732408644,0.22609823727068942
2024-05-10,60897.55192455,Positive,506.0,Hold,0.0,0.15897029743373264,0.0,9680.901942431892,0.3088255123961951,-3.190980575681078
2024-05-11,60836.67000892,Positive,2.0,Hold,0.0,0.15897029743373264,0.0,9671.223526195856,0.20854244257170365,-3.287764738041442
2024-05-12,61467.92941955,Neutral,0.0,Hold,0.0,0.15897029743373264,0.0,9771.575022461548,1.248336130048577,-2.2842497753845237
2024-05-13,62889.42101882,Positive,248.0,Hold,0.0,0.15897029743373264,0.0,9997.549964797054,3.589779230670647,-0.024500352029463105
2024-05-14,61566.43876712,Positive,155.0,Hold,0.0,0.15897029743373264,0.0,9787.235082744755,1.410598103550932,-2.1276491725524465
2024-05-15,66304.44488331,Positive,40.0,Hold,0.0,0.15897029743373264,0.0,10540.437324278324,9.21491558045714,5.40437324278324
2024-05-16,65233.06656096,Negative,-406.0,Sell Long,10370.11999371029,0.0,0.0,10370.11999371029,7.450169744244861,3.701199937102902
2024-05-17,67044.17013745,Negative,-487.0,Sell Short,10370.11999371029,0.0,0.15467593934640525,0.0,10.433371316355586,-100.0
2024-05-18,66984.70484648,Positive,193.0,Close Short,10370.11999371029,0.0,0.0,10370.11999371029,10.335421672938997,3.701199937102902
2024-05-19,66298.04001871,Neutral,0.0,Hold,10370.11999371029,0.0,0.0,10370.11999371029,9.204365658082788,3.701199937102902
