Date,Price,Volume,Market_cap
2024-12-19 00:00:00 UTC+0,0.00010381,44738982.770741,572402376.14830520
2024-12-18 00:00:00 UTC+0,0.00011394,35969095.821448,628258438.39030490
2024-12-17 00:00:00 UTC+0,0.00012497,30661134.484845,689058107.52111050
2024-12-16 00:00:00 UTC+0,0.00013081,26895117.922522,721288752.74333070
2024-12-15 00:00:00 UTC+0,0.00013384,38836158.920043,737891106.36533950
2024-12-14 00:00:00 UTC+0,0.00012907,25623902.057361,711578271.70510820
2024-12-13 00:00:00 UTC+0,0.00013348,25740015.573695,735950975.21154400
2024-12-12 00:00:00 UTC+0,0.00013429,37447123.236092,740829568.54155680
2024-12-11 00:00:00 UTC+0,0.00013445,43719884.545232,741853727.95820180
2024-12-10 00:00:00 UTC+0,0.00012421,66913965.753685,685176026.39987440
2024-12-09 00:00:00 UTC+0,0.00012928,86749525.438137,713025896.89118520
2024-12-08 00:00:00 UTC+0,0.00016191,33428534.919594,892937463.61917330
2024-12-07 00:00:00 UTC+0,0.00016471,42874834.949847,908310103.88813760
2024-12-06 00:00:00 UTC+0,0.00017049,59897067.142653,940213818.05886860
2024-12-05 00:00:00 UTC+0,0.00016627,107158343.120391,916856933.89105900
2024-12-04 00:00:00 UTC+0,0.00016326,113519347.885540,900042914.08332320
2024-12-03 00:00:00 UTC+0,0.00016176,182999423.932468,891207006.86471030
2024-12-02 00:00:00 UTC+0,0.00014256,103818259.916752,784974733.39451630
2024-12-01 00:00:00 UTC+0,0.00013248,62915680.986209,729434008.94959940
2024-11-30 00:00:00 UTC+0,0.00013413,71965038.333564,738498898.65384750
2024-11-29 00:00:00 UTC+0,0.00012479,32691805.790779,686857495.32459310
2024-11-28 00:00:00 UTC+0,0.00012133,28304692.671051,667720276.16215320
2024-11-27 00:00:00 UTC+0,0.00012213,24694130.180879,672197098.19227250
2024-11-26 00:00:00 UTC+0,0.00011667,35721155.419279,642282200.62182510
2024-11-25 00:00:00 UTC+0,0.00011760,44788743.479914,647545002.86729960
2024-11-24 00:00:00 UTC+0,0.00012471,70831294.865584,686533635.28903580
2024-11-23 00:00:00 UTC+0,0.00012128,65302007.729416,667660606.25703330
2024-11-22 00:00:00 UTC+0,0.00011717,59614015.146531,644805282.69902040
2024-11-21 00:00:00 UTC+0,0.00011033,34001731.954269,606630234.03719620
2024-11-20 00:00:00 UTC+0,0.00010431,23749509.374826,573274099.86748000
2024-11-19 00:00:00 UTC+0,0.00010868,25758509.766820,597158093.43549970
2024-11-18 00:00:00 UTC+0,0.00011249,33406044.705426,618077255.09099480
2024-11-17 00:00:00 UTC+0,0.00010781,47728154.322702,589544180.05611930
2024-11-16 00:00:00 UTC+0,0.00011644,169848409.232009,636502125.25478670
2024-11-15 00:00:00 UTC+0,0.00010282,36033016.086223,561888710.38908170
2024-11-14 00:00:00 UTC+0,0.00009708,32507603.949001,530416903.35254590
2024-11-13 00:00:00 UTC+0,0.00010015,52083609.222745,547024523.83934180
2024-11-12 00:00:00 UTC+0,0.00010444,70631884.370336,570540767.89382230
2024-11-11 00:00:00 UTC+0,0.00010541,45856290.499851,575387033.88350710
2024-11-10 00:00:00 UTC+0,0.00010276,72780537.540665,560798147.51416560
2024-11-09 00:00:00 UTC+0,0.00009520,26527056.205762,519403008.87346800
2024-11-08 00:00:00 UTC+0,0.00009205,17132783.249555,502253408.60965586
2024-11-07 00:00:00 UTC+0,0.00009278,20281287.360435,506250096.00536300
2024-11-06 00:00:00 UTC+0,0.00009318,25539223.758642,508343575.88496363
2024-11-05 00:00:00 UTC+0,0.00008661,11952942.592451,472402115.83546984
2024-11-04 00:00:00 UTC+0,0.00008285,15638678.843530,451942091.02665675
2024-11-03 00:00:00 UTC+0,0.00008329,17884712.904527,475633056.96092933
2024-11-02 00:00:00 UTC+0,0.00008690,10944639.982554,496295419.57475555
2024-11-01 00:00:00 UTC+0,0.00008937,15796116.037954,510442593.68862650
2024-10-31 00:00:00 UTC+0,0.00009174,55097767.481009,524047222.65301870
2024-10-30 00:00:00 UTC+0,0.00009431,21314821.397213,538566928.71107600
2024-10-29 00:00:00 UTC+0,0.00009320,16508689.929006,532227478.70740910
2024-10-28 00:00:00 UTC+0,0.00009206,15846411.001688,525691857.08039180
2024-10-27 00:00:00 UTC+0,0.00009182,18929271.397313,524198915.13511986
2024-10-26 00:00:00 UTC+0,0.00008831,15073217.701700,504125559.90530910
2024-10-25 00:00:00 UTC+0,0.00008555,32608011.518293,488352442.07456660
2024-10-24 00:00:00 UTC+0,0.00009061,13642997.513638,517162050.73954860
2024-10-23 00:00:00 UTC+0,0.00008941,15405057.545651,510370811.84942627
2024-10-22 00:00:00 UTC+0,0.00009342,28271329.889710,533313426.30574024
2024-10-21 00:00:00 UTC+0,0.00009259,26497098.154847,528569743.77185200
