date,price,sentiment,sentiment_score
2024-09-19,62998.45991945,Negative,-67.0
2024-09-20,63176.37438305,Positive,186.0
2024-09-21,63424.34803262,Positive,275.0
2024-09-22,63685.39387862,Positive,20.0
2024-09-23,63389.25979313,Positive,64.0
2024-09-24,64345.11185538,Positive,32.0
2024-09-25,63128.69326987,Positive,243.0
2024-09-26,65193.37131676,Negative,-33.0
2024-09-27,65807.10440955,Positive,4.0
2024-09-28,65932.90890615,Positive,155.0
2024-09-29,65639.17306441,Positive,3.0
2024-09-30,63319.42173129,Positive,371.0
2024-10-01,61050.31436029,Positive,88.0
2024-10-02,60661.48706938,Positive,1.0
2024-10-03,60780.11833479,Positive,218.0
2024-10-04,62101.60712141,Positive,114.0
2024-10-05,62236.09769079,Positive,7.0
2024-10-06,62836.23699858,Positive,1.0
2024-10-07,62366.19963699,Positive,40.0
2024-10-08,62179.89290057,Positive,382.0
2024-10-09,60590.5428459,Positive,36.0
2024-10-10,60245.6980667,Positive,18.0
2024-10-11,62394.88358932,Negative,-88.0
2024-10-12,63190.9502213,Negative,-1150.0
2024-10-13,62831.12164332,Positive,3.0
2024-10-14,66045.91061671,Positive,973.0
2024-10-15,66898.43020982,Positive,476.0
2024-10-16,67641.12001347,Positive,665.0
2024-10-17,67305.87489348,Positive,2.0
2024-10-18,68430.27281233,Positive,572.0
2024-10-19,68323.61129534,Positive,1.0
2024-10-20,68938.6041938,Negative,-609.0
2024-10-21,67419.95771592,Positive,60.0
2024-10-22,67388.70987963,Positive,782.0
2024-10-23,66663.68284526,Negative,-345.0
2024-10-24,68114.91856229,Negative,-87.0
2024-10-25,66476.68631485,Positive,213.0
2024-10-26,67025.03468737,Positive,1802.0
2024-10-27,67950.00097515,Positive,943.0
2024-10-28,69877.9379964,Positive,480.0
2024-10-29,72692.83855247,Negative,-52.0
2024-10-30,72448.51936161,Positive,935.0
2024-10-31,70350.66875177,Positive,172.0
2024-11-01,69556.93986447,Positive,835.0
2024-11-02,69438.65233749,Negative,-28.0
2024-11-03,68897.13164781,Positive,676.0
2024-11-04,67763.74712889,Positive,18.0
2024-11-05,69604.82276385,Negative,-30.0
2024-11-06,75645.35295892,Positive,937.0
2024-11-07,75842.18810599,Positive,150.0
2024-11-08,76544.19419728,Positive,83.0
2024-11-09,76788.25861629,Positive,1082.0
2024-11-10,80319.52636667,Positive,444.0
2024-11-11,88582.53333678,Positive,912.0
2024-11-12,88068.44592757,Positive,1599.0
2024-11-13,90550.03355035,Positive,304.0
2024-11-14,87222.15230398,Positive,1890.0
2024-11-15,91104.81289406,Positive,1128.0
2024-11-16,90648.35951276,Positive,1267.0
2024-11-17,89894.63469413,Positive,638.0
2024-11-18,90552.05528422,Positive,848.0
2024-11-19,92309.40589051,Positive,224.0
2024-11-20,94272.59890472,Positive,1292.0
2024-11-21,98429.27976966,Positive,2822.0
2024-11-22,98941.24201222,Positive,1493.0
2024-11-23,97639.86768772,Positive,2425.0
2024-11-24,97555.41375005,Positive,1092.0
2024-11-25,93048.57112256,Positive,2731.0
2024-11-26,91988.7514353,Positive,916.0
2024-11-27,95933.90169944,Positive,58.0
2024-11-28,95674.38142558,Positive,1091.0
2024-11-29,97436.17105675,Positive,724.0
2024-11-30,96443.16823456,Positive,333.0
2024-12-01,97381.665659,Positive,75.0
2024-12-02,95813.52972254,Negative,-574.0
2024-12-03,96015.45201984,Negative,-162.0
2024-12-04,98792.07211435,Positive,560.0
2024-12-05,97054.54994658,Positive,857.0
2024-12-06,99936.02264648,Positive,509.0
2024-12-07,99946.82461556,Positive,51.0
2024-12-08,100983.51074695,Positive,1275.0
2024-12-09,97495.80896966,Positive,364.0
2024-12-10,96627.80343908,Negative,-584.0
2024-12-11,101172.77395868,Positive,2606.0
2024-12-12,100004.33145417,Positive,12.0
2024-12-13,101396.31665561,Positive,672.0
2024-12-14,101459.42642486,Positive,811.0
2024-12-15,104251.30928902,Positive,422.0
2024-12-16,106010.27849143,Negative,-349.0
2024-12-17,106090.4295397,Positive,344.0
2024-12-18,100261.06009481,Positive,423.0
2024-12-19,97700.67442983,Positive,803.0
2024-12-20,97721.92477864,Positive,346.0
2024-12-21,97227.37519659,Positive,22.0
2024-12-22,95076.63109859,Positive,919.0
2024-12-23,94682.38878821,Positive,508.0
2024-12-24,98636.66020199,Positive,159.0
2024-12-25,99400.81547739,Positive,327.0
2024-12-26,95711.32319394,Negative,-230.0
2024-12-27,94216.48793226,Positive,351.0
2024-12-28,95127.09071324,Positive,134.0
2024-12-29,93597.41961624,Negative,-158.0
2024-12-30,92651.36941707,Positive,1000.0
2024-12-31,93369.66723222,Positive,1056.0
2025-01-01,94430.67069363,Negative,-591.0
2025-01-02,96839.51211055,Positive,381.0
